Id Person;Name;Profession;Known For Titles
nm0041474;Frédéric Auburtin;director,assistant_director,writer;tt0401711,tt0120744,tt32296270,tt0191610
nm0041932;Mark Rydell;miscellaneous,director,actor;tt0070334,tt0082846,tt0278823,tt0240628
nm0042155;Carlos Aured;assistant_director,director,writer;tt0083573,tt0082396,tt0069041,tt0085185
nm0042719;Aram Avakian;editor,director,miscellaneous;tt0065692,tt0052942,tt0056162,tt0071080
nm0048491;Graham Baker;director,writer,producer;tt0094631,tt0215925,tt0120604,tt0088478
nm0048875;Robert S. Baker;producer,miscellaneous,writer;tt0120053,tt0055701,tt0149555,tt0053961
nm0049294;Vincent Bal;director,writer,actor;tt1441083,tt0130514,tt0272326,tt0180817
nm0049371;Jaume Balagueró;director,writer,producer;tt1038988,tt1437358,tt0222368,tt1245112
nm0054219;Juan Antonio Bardem;writer,director,actor;tt0049043,tt0051155,tt0056100,tt0048394
nm0054504;Kasper Barfoed;director,writer,producer;tt24948454,tt2378830,tt5180734,tt10834220
nm0057261;Roberto D'Ettorre Piazzoli;cinematographer,camera_department,director;tt0071212,tt0076809,tt0105077,tt0079946
nm0058045;John Barry;production_designer,art_department,art_director;tt0078346,tt0076759,tt0066921,tt0080684
nm0060072;Jules Bass;producer,director,composer;tt0077687,tt0084237,tt0060283,tt0118688
nm0061608;Luigi Batzella;actor,editor,director;tt0162503,tt0066764,tt0198947,tt0211062
nm0063279;Edward Bazalgette;director,producer,sound_department;tt15767808,tt0088128,tt0436992,tt3636060
nm0064593;Gabrielle Beaumont;director,producer,actress;tt0081873,tt0083470,tt0090466,tt0106145
nm0064741;Xavier Beauvois;actor,writer,director;tt1588337,tt0102552,tt0113909,tt0431979
nm0065009;Marco Bechis;writer,director,producer;tt1054674,tt0201631,tt0101289,tt0295959
nm0065449;Jean Becker;director,writer,actor;tt1455151,tt0825244,tt0167926,tt0996930
nm0065615;Wolfgang Becker;director,writer,actor;tt0301357,tt0096052,tt0104615,tt0119510
nm0066904;Pablo Behrens;director,producer,writer;tt1765679,tt13232238,tt0196448,tt1776271
nm0068587;William Brent Bell;director,producer,writer;tt11851548,tt3882082,tt1560985,tt0441796
nm0069342;Véra Belmont;producer,writer,director;tt0119623,tt0088768,tt4264554,tt0285944
nm0070436;Steve Bendelack;director,miscellaneous,art_department;tt10601438,tt0453451,tt1844923,tt0086807
nm0070566;Jessica Bendinger;writer,miscellaneous,producer;tt0204946,tt0430634,tt0429591,tt0361620
nm0071682;Compton Bennett;writer,director,editor;tt2833218,tt0038924,tt0249780,tt0051071
nm0075626;Alain Berliner;director,writer,producer;tt0119590,tt0385995,tt6555754,tt0160644
nm0075849;Shari Springer Berman;director,writer,producer;tt0305206,tt10962368,tt0489237,tt0158831
nm0076779;Curtis Bernhardt;director,writer,producer;tt0058266,tt0039725,tt0027347,tt0048210
nm0077911;Fabienne Berthaud;actress,writer,director;tt1576450,tt4106306,tt7265272,tt0462679
nm0078943;Janeen Damian;producer,writer,director;tt33039440,tt21957774,tt14715170,tt27975905
nm0080576;Roberto Bianchi Montero;director,writer,actor;tt0211033,tt0076195,tt0063974,tt0075795
nm0080580;Andrea Bianchi;director,writer,assistant_director;tt0106741,tt0080693,tt0097589,tt0067489
nm0081449;Dragan Bjelogrlic;director,actor,producer;tt20365920,tt8737152,tt6108262,tt1634013
nm0081540;Susanne Bier;director,producer,writer;tt1340107,tt0457655,tt2737304,tt0315543
nm0082300;Tony Bill;actor,director,producer;tt0454824,tt0070735,tt0093029,tt0057517
nm0082450;Paul Feig;producer,actor,director;tt1289401,tt0193676,tt2404463,tt0110006
nm0082543;Kevin Billington;director,producer,writer;tt0066302,tt0087989,tt0067345,tt0070888
nm0084204;Terry Bishop;director,writer,assistant_director;tt0051940,tt0052709,tt0030998,tt0053496
nm0088498;Barry Bliss;director,writer,producer;tt0902347,tt0468535,tt2214815,tt13182354
nm0089940;Don Bluth;animation_department,director,art_department;tt0118617,tt0084649,tt0096787,tt0120913
nm0093051;Uwe Boll;producer,director,writer;tt0486640,tt0369226,tt0460780,tt0383222
nm0094083;Sergey Bondarchuk;actor,writer,director;tt0063794,tt0059884,tt0053317,tt0092688
nm0094274;Bertrand Bonello;writer,director,composer;tt14407336,tt1660379,tt4795546,tt1064861
nm0096180;Bernard Borderie;director,writer,assistant_director;tt0048608,tt0057724,tt0050286,tt0135171
nm0097079;Ole Bornedal;writer,director,producer;tt0110631,tt1272012,tt0119791,tt0478394
nm0097259;Walerian Borowczyk;director,writer,animation_department;tt0082272,tt0060914,tt0066841,tt0062366
nm0097517;Derrick Borte;director,writer,producer;tt10059518,tt6769326,tt1285309,tt1724597
nm0098953;Rachid Bouchareb;director,writer,producer;tt0268424,tt0099244,tt0444182,tt1227787
nm0099592;Roy Boulting;director,writer,producer;tt0042949,tt0053839,tt0060395,tt0054244
nm0101047;David Bowers;director,writer,animation_department;tt1650043,tt0424095,tt2023453,tt0375568
nm0101385;Rob Bowman;producer,director,actor;tt0253556,tt0120902,tt0106179,tt0357277
nm0103404;Stephen Bradley;director,writer,producer;tt2626090,tt0120852,tt0097937,tt0415679
nm0104226;Robert Bramkamp;writer,director,producer;tt3322498,tt0165381,tt0254718,tt0109741
nm0106387;Rossano Brazzi;actor,writer,director;tt0052225,tt0046754,tt0064505,tt0047580
nm0106456;Paddy Breathnach;director,producer,assistant_director;tt0126344,tt4334482,tt1185264,tt0109064
